name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Central Park, New York, NY 10021, United States",2023-09-22,70.1,58.9,64.6,70.1,58.9,64.6,53.9,68.7,0,0,0,,0,0,21.9,13.9,65.8,1026.9,22.7,9.9,143.5,12.5,7,10,2023-09-22T06:43:11,2023-09-22T18:53:34,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-23,63,56.9,59.7,63,56.9,59.7,54.8,84.5,0.805,100,58.33,rain,0,0,27.7,15,55.5,1020.6,88.6,6.6,31.8,2.8,2,10,2023-09-23T06:44:11,2023-09-23T18:51:52,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-24,65.9,62.1,64,65.9,62.1,64,60.3,87.8,1.118,100,95.83,rain,0,0,31,15,62.2,1015.6,100,4.4,43,3.7,3,10,2023-09-24T06:45:10,2023-09-24T18:50:11,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-25,65,56.9,62.1,65,56.9,62.1,57.5,85.1,0.598,100,79.17,rain,0,0,33.9,15,54,1017.9,100,4.2,28.1,2.4,1,10,2023-09-25T06:46:10,2023-09-25T18:48:29,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-26,60.2,56,58.6,60.2,56,58.6,53.9,84.4,0.199,100,45.83,rain,0,0,32.2,12.8,51.7,1026.4,95.3,6.3,30,2.4,1,10,2023-09-26T06:47:10,2023-09-26T18:46:48,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-27,63,51.2,58,63,51.2,58,46.3,65.6,0,0,0,,0,0,25.3,15,56.3,1026.8,53.8,9.9,160.2,14,7,10,2023-09-27T06:48:10,2023-09-27T18:45:07,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-28,64.1,56,58.9,64.1,56,58.9,53.3,82,0.126,100,16.67,rain,0,0,18.3,11.4,52.4,1024.7,93.3,8.4,69.4,5.9,3,10,2023-09-28T06:49:11,2023-09-28T18:43:26,0.47,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-29,63,60.2,61.9,63,60.2,61.9,57.4,85.3,4.471,100,75,rain,0,0,31.1,12.8,48,1021.3,100,4.7,26.6,2.2,1,10,2023-09-29T06:50:11,2023-09-29T18:41:46,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-09-30,65.9,57,61,65.9,57,61,56.3,84.8,0.025,100,12.5,rain,0,0,24.2,9.2,14.8,1021.3,95.3,8.9,67.8,6.1,4,10,2023-09-30T06:51:12,2023-09-30T18:40:05,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-01,75.8,58.9,67.2,75.8,58.9,67.2,56.5,70.6,0,0,0,,0,0,19.7,9.2,9,1021.5,0.1,9.6,206.2,17.8,8,10,2023-10-01T06:52:13,2023-10-01T18:38:25,0.57,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-02,76.9,63,68.9,76.9,63,68.9,57.9,68.9,0,0,0,,0,0,10.3,6.9,29.8,1021.9,14.6,9.9,211,18.2,8,10,2023-10-02T06:53:14,2023-10-02T18:36:46,0.61,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-03,80.1,61.1,69.7,80.8,61.1,69.8,58.3,68.4,0,0,0,,0,0,8.1,5.8,329.2,1021.3,0.1,9.4,206.2,17.8,7,10,2023-10-03T06:54:15,2023-10-03T18:35:07,0.64,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-04,82.1,65.9,72.4,83.3,65.9,72.7,61.8,70.2,0,0,0,,0,0,16.1,5.8,175.8,1022,0.9,9.3,204.3,17.7,7,10,2023-10-04T06:55:17,2023-10-04T18:33:28,0.67,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-05,75.8,63,68.4,75.8,63,68.4,59.5,74.1,0,0,0,,0,0,19.7,5.8,152.4,1022.9,1.1,9.3,201,17.3,7,10,2023-10-05T06:56:19,2023-10-05T18:31:49,0.7,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-06,71.1,66.8,69.1,71.1,66.8,69.1,66.1,90.4,0.13,100,12.5,rain,0,0,18.3,5.8,81,1016.6,100,4.4,41.4,3.6,3,10,2023-10-06T06:57:21,2023-10-06T18:30:12,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-07,70.1,54.1,64.1,70.1,54.1,64.1,59.4,85.2,0.148,100,25,rain,0,0,26.8,12.8,343.7,1006.5,91.2,6.3,56.9,5,3,10,2023-10-07T06:58:23,2023-10-07T18:28:34,0.77,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
"Central Park, New York, NY 10021, United States",2023-10-08,57.8,49.9,54.6,57.8,45.8,54.5,42.9,65,0,0,0,,0,0,26.4,15.8,252.8,1004.4,35,9.9,135.8,11.6,8,10,2023-10-08T06:59:26,2023-10-08T18:26:57,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KTEB,KLGA,F1417,KNYC"
"Central Park, New York, NY 10021, United States",2023-10-09,58.9,48.8,54.1,58.9,44.5,53.5,38.8,56.7,0,0,0,,0,0,26.4,10.3,231.1,1008.2,36,9.9,160.4,13.8,9,10,2023-10-09T07:00:29,2023-10-09T18:25:21,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KTEB,KLGA,F1417,KNYC"
"Central Park, New York, NY 10021, United States",2023-10-10,62.2,53.2,57.4,62.2,53.2,57.4,45.7,65.6,0.02,100,4.17,rain,0,0,19.5,11.4,220,1009.5,60.5,9.9,147.8,12.7,7,10,2023-10-10T07:01:32,2023-10-10T18:23:45,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D9152,KTEB,KLGA,F1417,KNYC"
"Central Park, New York, NY 10021, United States",2023-10-11,69.2,55.1,61.2,69.2,55.1,61.2,46.6,60.9,0,0,0,,0,0,18.7,10.3,240.4,1010.8,35,9.8,192,16.6,7,10,2023-10-11T07:02:36,2023-10-11T18:22:10,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,KTEB,KLGA,KNYC,F1417"
